fraud_category,risk_level,vendor_id,vendor_name,invoice_id_original,invoice_id_suspect,posting_gap_days,amount_difference_pct,exposure_jpy,event_month
Duplicate Invoices,High,VEND024,Fukuoka Plumbing Systems,INV000409,INV000434,26,0.0385,724000,2025-12
Duplicate Invoices,High,VEND030,Shonan Event Staffing,INV000361,INV000581,20,0,717000,2025-11
Duplicate Invoices,High,VEND030,Shonan Event Staffing,INV000338,INV000361,8,0.0391,689000,2025-10
Duplicate Invoices,High,VEND030,Shonan Event Staffing,INV000338,INV000581,28,0.0391,689000,2025-11
Duplicate Invoices,High,VEND023,Sendai Linen Works,INV000427,INV000495,25,0.0444,688000,2025-12
Duplicate Invoices,High,VEND009,Nagoya HVAC Engineering,INV000289,INV000278,9,0.0017,596000,2025-08
Duplicate Invoices,High,VEND047,Hokkaido Dairy Supplies,INV000402,INV000584,3,0,575000,2025-11
Duplicate Invoices,High,VEND025,Hakone Spa Consultants,INV000460,INV000598,1,0,537000,2025-12
Duplicate Invoices,High,VEND042,Uji Tea Suppliers,INV000343,INV000593,11,0,493000,2025-10
Duplicate Invoices,High,VEND004,Nippon Facility Maintenance,INV000282,INV000585,14,0,484000,2025-09
Duplicate Invoices,High,VEND012,Aomori Apple Growers,INV000182,INV000203,11,0.0022,444000,2025-06
Duplicate Invoices,High,VEND028,Biwa Resort Textiles,INV000201,INV000590,10,0,417000,2025-06
Duplicate Invoices,High,VEND049,Nippon Facility Maint.,INV000476,INV000583,22,0,312000,2026-02
Duplicate Invoices,High,VEND021,Kumamoto Wagyu Foods,INV000195,INV000194,2,0.0208,283000,2025-06
Duplicate Invoices,High,VEND026,Tsukiji Premium Foods,INV000093,INV000576,10,0,173000,2025-04
Duplicate Invoices,High,VEND036,Akita Sake Distributors,INV000292,INV000582,2,0,167000,2025-09
Duplicate Invoices,High,VEND042,Uji Tea Suppliers,INV000016,INV000573,8,0,161000,2025-01
Duplicate Invoices,High,VEND035,Roppongi Translation Services,INV000435,INV000575,4,0,149000,2025-11
Duplicate Invoices,High,VEND012,Aomori Apple Growers,INV000426,INV000449,9,0.0473,141000,2025-12
Duplicate Invoices,High,VEND020,Hiroshima IT Support,INV000470,INV000578,7,0,125000,2026-01
Duplicate Invoices,High,VEND043,Toba Room Amenities,INV000017,INV000571,15,0,93000,2025-03
